Folder Mode ResultCount CacheHits Time1 Time2 Time3 TimeAvg
278      143      1055         0          0m2.490s   0m2.456s   0m1.628s   0m2.191s
279      143      12125        12123      0m1.654s   0m1.539s   0m1.432s   0m1.542s
280      144      34           0          0m0.568s   0m0.439s   0m0.529s   0m0.512s
281      144      34           2          0m0.482s   0m0.443s   0m0.463s   0m0.463s
284      146      19           0          0m21.642s  0m20.786s  2m6.867s   0m56.432s
285      146      19           0          2m3.442s   2m7.891s   2m7.827s   2m6.387s
286      147      9484         0          19m14.667s 19m26.557s 30m5.905s  22m55.710s
287      147      9484         0          30m6.002s  29m52.541s 30m15.404s 30m4.649s
288      148      18           0          0m0.426s   0m0.420s   0m0.467s   0m0.438s
289      148      18           0          0m0.442s   0m0.472s   0m0.379s   0m0.431s
290      149      10           0          0m30.834s  0m31.579s  0m37.351s  0m33.255s
291      149      10           0          0m38.473s  0m37.620s  0m36.519s  0m37.537s
292      150      1125         0          0m2.557s   0m2.819s   0m1.581s   0m2.319s
293      150      13096        13094      0m1.716s   0m1.636s   0m1.721s   0m1.691s
294      151      101          0          0m0.572s   0m0.570s   0m0.503s   0m0.548s
295      151      655          653        0m0.597s   0m0.535s   0m0.565s   0m0.566s
296      152      73           0          0m0.500s   0m0.474s   0m0.508s   0m0.494s
297      152      454          452        0m0.513s   0m0.513s   0m0.462s   0m0.496s
298      153      27           0          0m0.412s   0m0.413s   0m0.429s   0m0.418s
299      153      110          100        0m0.417s   0m0.403s   0m0.350s   0m0.390s
300      154      5            0          0m7.993s   0m8.038s   0m4.320s   0m6.784s
301      154      5            0          0m4.318s   0m4.452s   0m4.399s   0m4.390s
302      155      2927         0          15m58.302s 16m4.751s  15m59.488s 16m0.847s
303      155      2929         190        16m8.671s  15m44.078s 15m56.139s 15m56.296s
304      156      4            0          0m1.625s   0m1.623s   0m1.504s   0m1.584s
305      156      4            0          0m1.405s   0m1.423s   0m1.510s   0m1.446s
306      157      99           0          0m0.598s   0m0.569s   0m0.478s   0m0.548s
307      157      649          647        0m0.470s   0m0.506s   0m0.580s   0m0.519s
308      158      367          0          0m0.877s   0m1.018s   0m0.788s   0m0.894s
309      158      3246         3244       0m0.881s   0m0.778s   0m1.124s   0m0.928s
310      159      31           0          0m0.457s   0m0.429s   0m0.417s   0m0.434s
311      159      31           2          0m0.415s   0m0.414s   0m0.432s   0m0.420s
312      160      13           0          0m0.387s   0m0.394s   0m0.405s   0m0.395s
313      160      13           2          0m0.398s   0m0.417s   0m0.409s   0m0.408s
314      161      26           0          0m0.424s   0m0.410s   0m0.447s   0m0.427s
315      161      26           0          0m0.430s   0m0.428s   0m0.461s   0m0.440s
316      162      2            0          0m0.300s   0m0.378s   0m0.383s   0m0.354s
317      162      2            0          0m0.365s   0m0.375s   0m0.436s   0m0.392s
318      163      18826        0          2m15.362s  2m23.027s  1m51.024s  2m9.804s
319      163      431630       431598     1m46.144s  2m1.246s   1m55.088s  1m54.159s
320      164      4            0          0m0.351s   0m0.373s   0m0.385s   0m0.370s
321      164      6            4          0m0.374s   0m0.485s   0m0.411s   0m0.423s
322      165      3            0          0m2.414s   0m2.535s   0m2.491s   0m2.480s
323      165      3            0          0m2.436s   0m2.453s   0m2.474s   0m2.454s
324      166      19           0          0m22.287s  0m21.334s  2m14.829s  0m59.483s
325      166      19           0          2m3.833s   2m8.062s   2m5.084s   2m5.660s
326      167      19           0          0m21.430s  0m21.283s  2m9.515s   0m57.409s
327      167      19           0          2m5.808s   2m7.291s   2m8.193s   2m7.097s
328      168      2            0          0m0.366s   0m0.286s   0m0.377s   0m0.343s
329      168      2            0          0m0.361s   0m0.389s   0m0.369s   0m0.373s
330      169      215          0          0m1.067s   0m0.740s   0m0.751s   0m0.853s
331      169      1655         1653       0m0.611s   0m0.657s   0m0.836s   0m0.701s
332      170      48           0          0m1.335s   0m1.356s   0m1.885s   0m1.525s
333      170      48           0          0m1.805s   0m2.099s   0m1.950s   0m1.951s
334      171      6            0          0m0.385s   0m0.374s   0m0.386s   0m0.382s
335      171      6            0          0m0.351s   0m0.460s   0m0.393s   0m0.401s
336      172      172          0          0m0.767s   0m0.941s   0m0.485s   0m0.731s
337      172      1267         1265       0m0.515s   0m0.624s   0m0.583s   0m0.574s
338      173      6            0          0m0.314s   0m0.321s   0m0.402s   0m0.346s
339      173      6            0          0m0.340s   0m0.345s   0m0.400s   0m0.362s
340      175      3353         0          31m59.056s 31m38.310s 55m28.872s 39m42.079s
341      175      3355         34         37m11.985s 39m3.139s  39m3.944s  38m26.356s
342      176      110          0          0m0.608s   0m0.651s   0m0.599s   0m0.619s
343      176      731          729        0m0.536s   0m0.637s   0m0.520s   0m0.564s
344      177      480          0          0m1.298s   0m1.371s   0m1.076s   0m1.248s
345      177      4752         4750       0m0.932s   0m0.854s   0m0.872s   0m0.886s
346      178      2            0          0m0.926s   0m0.949s   0m1.303s   0m1.059s
347      178      2            0          0m0.902s   0m0.899s   0m0.896s   0m0.899s
348      179      33           0          0m0.353s   0m0.448s   0m0.624s   0m0.475s
349      179      33           3          0m0.462s   0m0.355s   0m0.642s   0m0.486s
350      180      48           0          0m0.444s   0m0.469s   0m0.566s   0m0.493s
351      180      80           48         0m0.470s   0m0.442s   0m0.469s   0m0.460s
352      181      234          0          0m0.794s   0m0.838s   0m0.812s   0m0.815s
353      181      1877         1875       0m0.585s   0m0.543s   0m0.675s   0m0.601s
354      182      68           0          0m0.499s   0m0.547s   0m0.528s   0m0.525s
355      182      398          396        0m0.368s   0m0.371s   0m0.499s   0m0.413s
356      183      104          0          0m0.624s   0m0.593s   0m0.610s   0m0.609s
357      183      681          679        0m0.619s   0m0.493s   0m0.481s   0m0.531s
358      184      5298         0          14m10.044s 14m17.206s 26m41.353s 18m22.868s
359      184      10593        5296       20m53.440s 20m49.108s 21m2.209s  20m54.919s
