    Folder       Mode  Result Count  Cache Hits   Real Time
626    340    NoCache            19           0   0m21.215s
627    340  NormCache            19           0    2m6.626s
628    341    NoCache            50           0    0m0.472s
629    341  NormCache            50           0    0m0.782s
630    342    NoCache           130           0    0m0.508s
631    342  NormCache           130           0    0m0.736s
632    343    NoCache           142           0    0m0.538s
633    343  NormCache           142           0    0m0.541s
634    344    NoCache             2           0    0m0.371s
635    344  NormCache             2           0    0m0.417s
636    345    NoCache             6           0    0m0.493s
637    345  NormCache             6           0    0m0.480s
638    346    NoCache          3977           0   0m21.050s
639    346  NormCache          3977           0   0m43.340s
640    347    NoCache           342           0    0m2.807s
641    347  NormCache           342           0    0m3.081s
642    348    NoCache           851           0    0m1.766s
643    348  NormCache           851           0    0m3.186s
644    349    NoCache           162           0    0m0.656s
645    349  NormCache           162           0    0m0.655s
646    351    NoCache         52699           0   8m28.938s
647    351  NormCache         52699           0  16m37.436s
648    352    NoCache           104           0    0m0.715s
649    352  NormCache           104           0    0m1.147s
650    353    NoCache             3           0    0m2.290s
651    353  NormCache             3           0    0m2.676s
652    354    NoCache           614           0   0m13.790s
653    354  NormCache           614           0    0m9.379s
654    355    NoCache            73           0    0m0.513s
655    355  NormCache            73           0    0m0.680s
656    356    NoCache            96           0    0m0.701s
657    356  NormCache            96           0    0m0.619s
658    357    NoCache            19           0    0m0.435s
659    357  NormCache            19           0    0m0.447s
660    358    NoCache             4           0    0m0.354s
661    358  NormCache             4           0    0m0.344s
662    359    NoCache             2           0    0m0.365s
663    359  NormCache             2           0    0m0.424s
664    360    NoCache             4           0    0m1.552s
665    360  NormCache             4           0    0m1.508s
666    361    NoCache           179           0    0m0.753s
667    361  NormCache           179           0    0m1.173s
668    362    NoCache           392           0    0m1.322s
669    362  NormCache           392           0    0m1.200s
670    363    NoCache            71           0    0m0.563s
671    363  NormCache            71           0    0m0.663s
672    364    NoCache            22           0    0m0.416s
673    364  NormCache            22           0    0m0.474s
